X,y
"[127, 176.86778, 242.34264, 26.002142879537914, 0.005316679146972703, 123.23487384779592, 3.139600013282022, 5, 3, 1, 2, 1, 178, 206.36174, 282.29047, 26.182125693648267, 0.00846136931034086, 122.95955215076972, 0.0696261696509044, 1, 0, 1, 1, 1, 139, 192.98389, 239.61214, 28.504456314292483, 0.00020785748098561818, 136.28768846736386, 4.015784407287908, 4, 3, 0, 2, 1]",1
"[196, 191.37012, 367.53836, 16.70236806929881, 0.0006659642235004593, 123.30494082096641, 1.2938781875005463, 2, 1, 0, 0, 1, 38, 201.55186, 365.9929, 22.2121894861698, 0.0015814518984781922, 116.79555820524293, 1.847714466089247, 3, 0, 0, 2, 1, 166, 215.54842, 398.5656, 30.678559833101666, 0.004700349720353936, 123.02124411576993, 4.3680615279001875, 0, 2, 1, 1, 2]",2
"[40, 228.62192, 105.90421, 23.70633336874871, 0.0001554788795973816, 84.11642093418368, 4.4790159135492615, 1, 0, 1, 0, 0, 146, 195.34991, 58.789795, 33.981038194616204, 0.0018226042694632905, 71.42707264216887, 0.9481967374262341, 2, 3, 0, 1, 0, 104, 235.2888, 56.42789, 36.81012255872036, 0.0011446214515432596, 77.8830622990443, 1.0176256505834, 0, 2, 1, 1, 2]",0
"[36, 206.0833, 169.36061, 26.887330977559373, 0.03276449314231694, 155.6126911182466, 0.30980403613728, 2, 1, 1, 4, 2, 197, 242.62227, 154.32541, 29.8230088462949, 0.0023605735249073168, 136.19933904703228, 1.9311919865685712, 2, 1, 2, 1, 2, 164, 232.91507, 119.970436, 30.071379061318897, 0.001627794162496532, 110.25994691521058, 1.3297209875261022, 5, 0, 2, 1, 4]",3
"[197, 242.62227, 154.32541, 19.01490688466699, 0.004923847824414795, 129.50881880196698, 1.9516059422576524, 3, 0, 1, 0, 2, 114, 246.84946, 140.90953, 19.548505682531825, 0.02050973389297933, 136.22716260829895, 1.1899867113321407, 1, 0, 0, 1, 2, 164, 232.91507, 119.970436, 23.605284309039728, 0.008912215511818644, 103.86224635263234, 1.3501349432151835, 6, 1, 1, 0, 4]",0
"[157, 235.868, 204.46994, 21.350117432349037, 0.006719218493908108, 142.67063553752004, 1.7633089318284743, 5, 3, 2, 2, 2, 107, 248.19273, 170.168, 22.764722928471507, 0.018966355156641912, 129.68252289324204, 3.53161947068597, 3, 1, 1, 0, 1, 36, 206.0833, 169.36061, 28.05066644054914, 0.03045002706959976, 155.75415113335794, 2.5535841086968625, 1, 0, 1, 1, 1]",3
"[162, 222.77359, 212.24146, 10.479341269741154, 0.0037028390313327275, 142.6115613370261, 1.8552192166330457, 2, 1, 1, 0, 0, 157, 235.868, 204.46994, 22.242447557255748, 0.00832409434063669, 136.17060298567233, 1.2863734369567479, 4, 1, 1, 1, 1, 227, 191.75084, 179.76659, 34.93548412475846, 0.054807889703731516, 129.77763155739126, 1.0070099539436828, 1, 0, 2, 2, 1]",3
"[173, 221.90428, 282.9004, 15.171005585208913, 0.0009047386846563477, 110.25812107472383, 0.025230807747724848, 3, 1, 1, 1, 0, 178, 206.36174, 282.29047, 16.7070511632352, 0.01795726972739642, 123.24804379215571, 3.1163618458420683, 0, 2, 2, 0, 0, 93, 238.55621, 282.59894, 26.218359621858728, 0.00043069137105128386, 90.6405965765302, 0.03209250406259766, 3, 1, 2, 1, 1]",2
"[176, 212.45523, 305.95346, 7.36876488601813, 0.01526077017930988, 116.91058272705564, 3.00188493187292, 2, 0, 1, 1, 0, 214, 181.97955, 297.50424, 26.072331180315242, 0.0070340645622732345, 123.32770060687922, 0.7321682452919467, 2, 0, 1, 1, 0, 178, 206.36174, 282.29047, 26.31526639391654, 0.0024741089320146625, 136.2202272118252, 3.8932212887835833, 0, 3, 3, 1, 1]",3
"[44, 220.12437, 466.18994, 2.464685850679829, 0.01632652154216563, 104.19316137455553, 3.0434274343494976, 1, 1, 2, 0, 0, 189, 205.31183, 465.66556, 14.809514148082442, 0.00791104656502195, 113.91520063847314, 3.3982376782188317, 0, 0, 1, 1, 0, 191, 220.79442, 443.32147, 20.422912142646698, 0.00540828238513702, 88.03769784273315, 1.4665360974884578, 3, 1, 2, 2, 4]",3
"[120, 294.53757, 138.14888, 17.472874550214712, 0.01576693884338959, 142.51003429577864, 2.9629497085822534, 2, 0, 1, 0, 1, 160, 304.87125, 121.1573, 21.777822755861358, 0.014385539991179253, 116.79952846302758, 0.17864294500753974, 3, 1, 3, 2, 1, 220, 265.15198, 106.059204, 26.073845415697445, 0.000935267573628551, 149.18955610229605, 3.715466688429953, 0, 0, 1, 1, 0]",3
"[157, 235.868, 204.46994, 16.84997579847004, 0.045674600856133896, 155.69172781760977, 0.10111773848681127, 6, 2, 2, 3, 3, 230, 261.2245, 181.0859, 19.487901978125606, 0.020995192025395293, 142.6285251145113, 2.5443582148189483, 4, 0, 1, 1, 2, 107, 248.19273, 170.168, 19.88569398552275, 0.019989027205583876, 142.71632367197267, 1.6671928003706842, 4, 0, 1, 1, 2]",3
"[109, 288.47574, 240.181, 22.099341149120473, 0.0017262137443234127, 97.1574150200712, 4.007023445909539, 6, 1, 1, 4, 2, 157, 235.868, 204.46994, 41.747520255367334, 0.00499788699126219, 142.6821099717133, 1.7016992656868943, 4, 0, 0, 3, 1, 229, 271.05032, 182.6991, 47.50032963188395, 0.09740718014195898, 136.13022980752805, 1.0033470884292377, 3, 1, 3, 0, 1]",0
"[109, 288.47574, 240.181, 30.331116025255863, 0.00512735711687301, 116.59525659353532, 0.8654307923197451, 7, 2, 0, 3, 2, 157, 235.868, 204.46994, 33.458469784186995, 0.0018556838699342326, 149.13162544401803, 1.4398933879028992, 5, 3, 1, 2, 1, 229, 271.05032, 182.6991, 38.87862102881719, 0.1042607510031554, 142.61279919041516, 2.1382455651605556, 4, 2, 2, 1, 1]",3
"[157, 235.868, 204.46994, 6.532644198369492, 0.007268646509812737, 129.77025713241113, 1.6834194026883083, 5, 2, 1, 4, 0, 162, 222.77359, 212.24146, 21.748678313816146, 0.00475828686215668, 136.26481523910257, 1.458173250901485, 3, 2, 1, 3, 1, 230, 261.2245, 181.0859, 28.268978095879998, 0.017410762320925866, 116.70642348033627, 4.126659879020445, 3, 0, 2, 2, 1]",3
"[93, 238.55621, 282.59894, 19.861746376417365, 0.001486365187622296, 97.25317996104567, 0.6201834353902768, 2, 0, 2, 0, 0, 173, 221.90428, 282.9004, 31.01273578485135, 0.00015093513191466457, 103.88645755534445, 0.5628601235799543, 2, 0, 1, 0, 1, 178, 206.36174, 282.29047, 44.26622789319696, 0.01901294354396743, 116.83804459714852, 3.7044527771697475, 1, 3, 2, 1, 1]",3
